CASE,RAD?,TRIM?,MACH,RE,BETA,PHI,SREF,XCG,XMRP,LREF,LATREF,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,DEFL_1_5,DEFL_1_6,DEFL_1_7,DEFL_1_8,ALPHA,CN法向力系数,CM俯仰力矩系数,CA轴向力系数,CA_0B,CA_FB,CY侧向力系数,CLN偏航力矩系数,CLL,CL升力系数,CD阻力系数,CL/CD,X-C.P.,CNA,CMA,BA_CN,BA_CM,BA_CA,BA_CY,BA_CLN,BA_CLL,BA_CL,BA_CD,BA_CL/CD,BA_X-C.P.,BA_CNA,BA_CMA,CYB,CLNB,CLLB,BA_CYB,BA_CLNB,BA_CLLB
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1.5,0.0798,-0.1211,0.0999,0.0944,0.0999,0.2132,-0.3243,0,0.0771,0.102,0.756,-1.519,0.0531,-0.0809,0.009,0.1044,0.0947,0.0242,0.2788,0,0.0066,0.0949,0.0692,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2,0.1065,-0.1621,0.0993,0.0937,0.0993,0.2128,-0.3234,0,0.1029,0.1029,1.0001,-1.5232,0.0533,-0.0828,0.012,0.1392,0.0947,0.024,0.2788,0,0.0087,0.095,0.0914,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2.5,0.1331,-0.2039,0.0983,0.0928,0.0983,0.2126,-0.3248,0,0.1287,0.104,1.2366,-1.5326,0.053,-0.0846,0.0146,0.1741,0.0947,0.0234,0.2788,0,0.0105,0.0952,0.1098,11.919,0.0046,0.0698,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3,0.1595,-0.2468,0.0971,0.0916,0.0971,0.2123,-0.3277,0,0.1542,0.1053,1.4635,-1.5475,0.0526,-0.0867,0.0166,0.209,0.0947,0.0222,0.2789,0,0.0117,0.0954,0.1222,12.5583,0.0036,0.0699,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3.5,0.1857,-0.2906,0.0957,0.0901,0.0957,0.212,-0.3314,0,0.1795,0.1069,1.6799,-1.5651,0.0522,-0.0889,0.0182,0.244,0.0947,0.0208,0.279,0,0.0124,0.0957,0.1291,13.4289,0.0025,0.0701,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,4,0.2117,-0.3357,0.0941,0.0885,0.0941,0.2117,-0.3357,0,0.2046,0.1086,1.8835,-1.5856,0.0518,-0.0913,0.0191,0.2791,0.0948,0.0191,0.2791,0,0.0124,0.0959,0.1297,14.6174,0.0012,0.0702,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-4,-0.214,0.3435,0.0943,0.0888,0.0943,0.214,-0.3435,0,-0.2069,0.109,-1.8978,-1.6056,0.0523,-0.0931,-0.0191,-0.2791,0.0953,0.0191,0.2791,0,-0.0124,0.0964,-0.1287,14.6174,0.0012,0.0702,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3.5,-0.1877,0.2975,0.0959,0.0904,0.0959,0.2143,-0.3393,0,-0.1815,0.1072,-1.6932,-1.5854,0.0528,-0.0908,-0.0182,-0.244,0.0952,0.0208,0.279,0,-0.0123,0.0961,-0.1282,13.4289,0.0025,0.0701,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3,-0.1612,0.2528,0.0973,0.0918,0.0973,0.2146,-0.3357,0,-0.1559,0.1056,-1.4755,-1.568,0.0532,-0.0886,-0.0166,-0.209,0.0952,0.0222,0.2789,0,-0.0116,0.0959,-0.1213,12.5583,0.0036,0.0699,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2.5,-0.1345,0.209,0.0985,0.093,0.0985,0.2149,-0.3329,0,-0.1301,0.1043,-1.2471,-1.5534,0.0536,-0.0865,-0.0146,-0.1741,0.0952,0.0234,0.2788,0,-0.0104,0.0957,-0.1091,11.919,0.0046,0.0698,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2,-0.1076,0.1662,0.0995,0.0939,0.0995,0.2151,-0.3315,0,-0.1041,0.1032,-1.0089,-1.5443,0.0539,-0.0848,-0.012,-0.1392,0.0951,0.024,0.2788,0,-0.0087,0.0955,-0.0907,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1.5,-0.0806,0.1242,0.1002,0.0946,0.1002,0.2156,-0.3325,0,-0.078,0.1022,-0.7629,-1.5403,0.0537,-0.0829,-0.009,-0.1044,0.0951,0.0242,0.2788,0,-0.0066,0.0954,-0.0687,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1,-0.0539,0.0833,0.1006,0.0951,0.1006,0.2166,-0.3355,0,-0.0522,0.1015,-0.514,-1.5445,0.0535,-0.082,-0.0061,-0.0696,0.0951,0.0242,0.2789,0,-0.0044,0.0952,-0.0461,11.5051,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-0.5,-0.0271,0.0422,0.1008,0.0953,0.1008,0.2179,-0.3398,0,-0.0263,0.101,-0.2598,-1.5547,0.0539,-0.0833,-0.003,-0.0348,0.0952,0.0242,0.279,0,-0.0022,0.0952,-0.023,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0.1009,0.0954,0.1009,0.2183,-0.3409,0,0,0.1009,0,-0.1714,0.0543,-0.0844,0,0,0.0952,0.0242,0.279,0,0,0.0952,0,11.539,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0.5,0.0271,-0.0422,0.1008,0.0953,0.1008,0.2179,-0.3398,0,0.0263,0.101,0.2598,-1.5547,0.0539,-0.0833,0.003,0.0348,0.0952,0.0242,0.279,0,0.0022,0.0952,0.023,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1,0.0539,-0.0833,0.1006,0.0951,0.1006,0.2166,-0.3355,0,0.0522,0.1015,0.514,-1.5445,0.0535,-0.082,0.0061,0.0696,0.0951,0.0242,0.2789,0,0.0044,0.0952,0.0461,11.5051,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1.5,0.0806,-0.1242,0.1002,0.0946,0.1002,0.2156,-0.3325,0,0.078,0.1022,0.7629,-1.5403,0.0537,-0.0829,0.009,0.1044,0.0951,0.0242,0.2788,0,0.0066,0.0954,0.0687,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2,0.1076,-0.1662,0.0995,0.0939,0.0995,0.2151,-0.3315,0,0.1041,0.1032,1.0089,-1.5443,0.0539,-0.0848,0.012,0.1392,0.0951,0.024,0.2788,0,0.0087,0.0955,0.0907,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2.5,0.1345,-0.209,0.0985,0.093,0.0985,0.2149,-0.3329,0,0.1301,0.1043,1.2471,-1.5534,0.0536,-0.0865,0.0146,0.1741,0.0952,0.0234,0.2788,0,0.0104,0.0957,0.1091,11.919,0.0046,0.0698,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3,0.1612,-0.2528,0.0973,0.0918,0.0973,0.2146,-0.3357,0,0.1559,0.1056,1.4755,-1.568,0.0532,-0.0886,0.0166,0.209,0.0952,0.0222,0.2789,0,0.0116,0.0959,0.1213,12.5583,0.0036,0.0699,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3.5,0.1877,-0.2975,0.0959,0.0904,0.0959,0.2143,-0.3393,0,0.1815,0.1072,1.6932,-1.5854,0.0528,-0.0908,0.0182,0.244,0.0952,0.0208,0.279,0,0.0123,0.0961,0.1282,13.4289,0.0025,0.0701,0,0,0,0,0,0
1,0,0,0.6,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,4,0.214,-0.3435,0.0943,0.0888,0.0943,0.214,-0.3435,0,0.2069,0.109,1.8978,-1.6056,0.0523,-0.0931,0.0191,0.2791,0.0953,0.0191,0.2791,0,0.0124,0.0964,0.1287,14.6174,0.0012,0.0702,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-4,-0.218,0.3573,0.0957,0.0902,0.0957,0.218,-0.3573,0,-0.2108,0.1106,-1.9055,-1.6386,0.0531,-0.0959,-0.0191,-0.2791,0.0969,0.0191,0.2791,0,-0.0123,0.098,-0.1253,14.6174,0.0012,0.0702,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3.5,-0.1913,0.3099,0.0974,0.0919,0.0974,0.2185,-0.3534,0,-0.185,0.1089,-1.6989,-1.6195,0.0536,-0.0937,-0.0182,-0.244,0.097,0.0208,0.279,0,-0.0122,0.098,-0.1247,13.4289,0.0025,0.0701,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3,-0.1644,0.2636,0.099,0.0935,0.099,0.2189,-0.3502,0,-0.159,0.1074,-1.4798,-1.6031,0.0541,-0.0917,-0.0166,-0.209,0.0971,0.0222,0.2789,0,-0.0115,0.0979,-0.1179,12.5583,0.0036,0.0699,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2.5,-0.1373,0.2182,0.1003,0.0948,0.1003,0.2193,-0.3476,0,-0.1328,0.1062,-1.2505,-1.5895,0.0545,-0.0898,-0.0146,-0.1741,0.0972,0.0234,0.2788,0,-0.0103,0.0977,-0.1059,11.919,0.0046,0.0698,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2,-0.1099,0.1737,0.1013,0.0958,0.1013,0.2196,-0.3466,0,-0.1063,0.1051,-1.0115,-1.5813,0.0549,-0.0882,-0.012,-0.1392,0.0973,0.024,0.2788,0,-0.0086,0.0976,-0.088,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1.5,-0.0823,0.1299,0.102,0.0965,0.102,0.2201,-0.3478,0,-0.0797,0.1041,-0.7649,-1.578,0.0548,-0.0865,-0.009,-0.1044,0.0973,0.0242,0.2788,0,-0.0065,0.0975,-0.0666,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1,-0.0551,0.0872,0.1025,0.097,0.1025,0.2213,-0.3511,0,-0.0533,0.1034,-0.5154,-1.5826,0.0546,-0.0858,-0.0061,-0.0696,0.0973,0.0242,0.2789,0,-0.0044,0.0974,-0.0447,11.5051,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-0.5,-0.0277,0.0442,0.1027,0.0973,0.1027,0.2227,-0.3555,0,-0.0268,0.103,-0.2606,-1.593,0.0551,-0.0872,-0.003,-0.0348,0.0974,0.0242,0.279,0,-0.0022,0.0974,-0.0223,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0.1028,0.0973,0.1028,0.223,-0.3567,0,0,0.1028,0,-1.0947,0.0555,-0.0883,0,0,0.0974,0.0242,0.279,0,0,0.0974,0,11.539,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0.5,0.0277,-0.0442,0.1027,0.0973,0.1027,0.2227,-0.3555,0,0.0268,0.103,0.2606,-1.593,0.0551,-0.0872,0.003,0.0348,0.0974,0.0242,0.279,0,0.0022,0.0974,0.0223,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1,0.0551,-0.0872,0.1025,0.097,0.1025,0.2213,-0.3511,0,0.0533,0.1034,0.5154,-1.5826,0.0546,-0.0858,0.0061,0.0696,0.0973,0.0242,0.2789,0,0.0044,0.0974,0.0447,11.5051,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1.5,0.0823,-0.1299,0.102,0.0965,0.102,0.2201,-0.3478,0,0.0797,0.1041,0.7649,-1.578,0.0548,-0.0865,0.009,0.1044,0.0973,0.0242,0.2788,0,0.0065,0.0975,0.0666,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2,0.1099,-0.1737,0.1013,0.0958,0.1013,0.2196,-0.3466,0,0.1063,0.1051,1.0115,-1.5813,0.0549,-0.0882,0.012,0.1392,0.0973,0.024,0.2788,0,0.0086,0.0976,0.088,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2.5,0.1373,-0.2182,0.1003,0.0948,0.1003,0.2193,-0.3476,0,0.1328,0.1062,1.2505,-1.5895,0.0545,-0.0898,0.0146,0.1741,0.0972,0.0234,0.2788,0,0.0103,0.0977,0.1059,11.919,0.0046,0.0698,-0.0533,0,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3,0.1644,-0.2636,0.099,0.0935,0.099,0.2189,-0.3502,0,0.159,0.1074,1.4798,-1.6031,0.0541,-0.0917,0.0166,0.209,0.0971,0.0222,0.2789,0,0.0115,0.0979,0.1179,12.5583,0.0036,0.0699,-0.0536,0.0812,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,3.5,0.1913,-0.3099,0.0974,0.0919,0.0974,0.2185,-0.3534,0,0.185,0.1089,1.6989,-1.6195,0.0536,-0.0937,0.0182,0.244,0.097,0.0208,0.279,0,0.0122,0.098,0.1247,13.4289,0.0025,0.0701,-0.0532,0.0821,0,0,0,0
1,0,0,0.7,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,4,0.218,-0.3573,0.0957,0.0902,0.0957,0.218,-0.3573,0,0.2108,0.1106,1.9055,-1.6386,0.0531,-0.0959,0.0191,0.2791,0.0969,0.0191,0.2791,0,0.0123,0.098,0.1253,14.6174,0.0012,0.0702,-0.0528,0.0812,0,-0.0061,0,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-4,-0.223,0.3743,0.1704,0.165,0.1704,0.223,-0.3743,0,-0.2106,0.1856,-1.1347,-1.6783,0.0543,-0.0999,-0.0191,-0.2791,0.172,0.0191,0.2791,0,-0.007,0.1729,-0.0408,14.6174,0.0012,0.0702,-0.0523,0.0802,0,-0.006,-0.0696,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3.5,-0.1957,0.3249,0.1723,0.1668,0.1723,0.2235,-0.3706,0,-0.1849,0.1839,-1.0051,-1.6597,0.0548,-0.0978,-0.0182,-0.244,0.1722,0.0208,0.279,0,-0.0076,0.173,-0.0441,13.4289,0.0025,0.0701,-0.0518,0.079,0,-0.0059,-0.0697,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3,-0.1682,0.2765,0.1739,0.1685,0.1739,0.224,-0.3674,0,-0.1589,0.1825,-0.8706,-1.6439,0.0553,-0.0958,-0.0166,-0.209,0.1724,0.0222,0.2789,0,-0.0076,0.173,-0.0439,12.5583,0.0036,0.0699,-0.0512,0.078,0,-0.0057,-0.0698,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2.5,-0.1404,0.229,0.1753,0.1698,0.1753,0.2244,-0.365,0,-0.1327,0.1812,-0.732,-1.6307,0.0558,-0.094,-0.0146,-0.1741,0.1725,0.0234,0.2788,0,-0.0071,0.173,-0.0408,11.919,0.0046,0.0698,-0.0507,0.0772,0,-0.0055,-0.0699,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2,-0.1124,0.1825,0.1763,0.1709,0.1763,0.2247,-0.364,0,-0.1062,0.1802,-0.5895,-1.6229,0.0562,-0.0925,-0.012,-0.1392,0.1726,0.024,0.2788,0,-0.006,0.1729,-0.0345,11.6085,0.0056,0.0696,-0.0505,0.0766,0,-0.0053,-0.07,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1.5,-0.0843,0.1365,0.1771,0.1717,0.1771,0.2253,-0.3654,0,-0.0796,0.1793,-0.4442,-1.6199,0.056,-0.0908,-0.009,-0.1044,0.1727,0.0242,0.2788,0,-0.0045,0.1729,-0.0262,11.5437,0.0059,0.0696,-0.0507,0.0764,0,-0.0049,-0.0702,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1,-0.0564,0.0916,0.1776,0.1722,0.1776,0.2265,-0.3689,0,-0.0533,0.1786,-0.2985,-1.6246,0.0559,-0.0901,-0.0061,-0.0696,0.1728,0.0242,0.2789,0,-0.003,0.1728,-0.0176,11.5051,0.006,0.0696,-0.0512,0.0766,0,-0.0046,-0.0703,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-0.5,-0.0284,0.0464,0.1779,0.1724,0.1779,0.2279,-0.3735,0,-0.0268,0.1781,-0.1506,-1.635,0.0564,-0.0916,-0.003,-0.0348,0.1728,0.0242,0.279,0,-0.0015,0.1728,-0.0087,11.5296,0.0061,0.0696,-0.0518,0.0772,0,-0.0045,-0.0704,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0.178,0.1725,0.178,0.2283,-0.3747,0,0,0.178,0,-0.8177,0.0568,-0.0928,0,0,0.1728,0.0242,0.279,0,0,0.1728,0,11.539,0.006,0.0696,-0.0523,0.078,0,-0.0046,-0.0704,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0.5,0.0284,-0.0464,0.1779,0.1724,0.1779,0.2279,-0.3735,0,0.0268,0.1781,0.1506,-1.635,0.0564,-0.0916,0.003,0.0348,0.1728,0.0242,0.279,0,0.0015,0.1728,0.0087,11.5296,0.0061,0.0696,-0.0528,0.079,0,-0.0049,-0.0704,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1,0.0564,-0.0916,0.1776,0.1722,0.1776,0.2265,-0.3689,0,0.0533,0.1786,0.2985,-1.6247,0.0559,-0.0901,0.0061,0.0696,0.1728,0.0242,0.2789,0,0.003,0.1728,0.0176,11.5051,0.006,0.0696,-0.0532,0.0802,0,-0.0053,-0.0703,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1.5,0.0843,-0.1365,0.1771,0.1717,0.1771,0.2253,-0.3654,0,0.0796,0.1793,0.4442,-1.6199,0.056,-0.0908,0.009,0.1044,0.1727,0.0242,0.2788,0,0.0045,0.1729,0.0262,11.5437,0.0059,0.0696,-0.0536,0.0812,0,-0.0055,-0.0702,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2,0.1124,-0.1825,0.1763,0.1709,0.1763,0.2247,-0.364,0,0.1062,0.1802,0.5895,-1.6229,0.0562,-0.0925,0.012,0.1392,0.1726,0.024,0.2788,0,0.006,0.1729,0.0345,11.6085,0.0056,0.0696,-0.0533,0.0821,0,-0.0057,-0.07,0
1,0,0,0.8,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,2.5,0.1404,-0.229,0.1753,0.1698,0.1753,0.2244,-0.365,0,0.1327,0.1812,0.732,-1.6307,0.0558,-0.094,0.0146,0.1741,0.1725,0.0234,0.2788,0,0.0071,0.173,0.0408,11.919,0.0046,0.0698,-0.0539,0.0812,0,-0.0059,-0.0699,0
